"metric","oot_202201_202202_1","dataset"
True positive,431636.0,OOT_202201_202202_1
True negative,5357823.0,OOT_202201_202202_1
False positive,247678.0,OOT_202201_202202_1
False negative,1574063.0,OOT_202201_202202_1
Recall,0.21520477399649698,OOT_202201_202202_1
Precision,0.6353998298283268,OOT_202201_202202_1
AUC,0.7178865333901997,OOT_202201_202202_1
AU Precision Recall,0.7178865333901993,OOT_202201_202202_1
True positive,521612.0,OOT_202201_202202_2
True negative,4826830.0,OOT_202201_202202_2
False positive,251584.0,OOT_202201_202202_2
False negative,1420504.0,OOT_202201_202202_2
Recall,0.26857921977883914,OOT_202201_202202_2
Precision,0.674618078727774,OOT_202201_202202_2
AUC,0.7366395596307824,OOT_202201_202202_2
AU Precision Recall,0.7366395596307826,OOT_202201_202202_2
True positive,39538.0,OOT_202201_202202_3
True negative,973832.0,OOT_202201_202202_3
False positive,34419.0,OOT_202201_202202_3
False negative,248030.0,OOT_202201_202202_3
Recall,0.13749095866021255,OOT_202201_202202_3
Precision,0.5346079478615953,OOT_202201_202202_3
AUC,0.6744599569940598,OOT_202201_202202_3
AU Precision Recall,0.6744599569940601,OOT_202201_202202_3
True positive,337594.0,OOT_202211_202212_1
True negative,5237686.0,OOT_202211_202212_1
False positive,198395.0,OOT_202211_202212_1
False negative,1485351.0,OOT_202211_202212_1
Recall,0.18519154445142338,OOT_202211_202212_1
Precision,0.6298524783157863,OOT_202211_202212_1
AUC,0.7107242765492626,OOT_202211_202212_1
AU Precision Recall,0.7107242765492633,OOT_202211_202212_1
True positive,445497.0,OOT_202211_202212_2
True negative,5071688.0,OOT_202211_202212_2
False positive,206180.0,OOT_202211_202212_2
False negative,1550848.0,OOT_202211_202212_2
Recall,0.22315631817145834,OOT_202211_202212_2
Precision,0.6836162700233398,OOT_202211_202212_2
AUC,0.7311967407670259,OOT_202211_202212_2
AU Precision Recall,0.7311967407670259,OOT_202211_202212_2
True positive,38763.0,OOT_202211_202212_3
True negative,1064601.0,OOT_202211_202212_3
False positive,32415.0,OOT_202211_202212_3
False negative,272522.0,OOT_202211_202212_3
Recall,0.12452575613987182,OOT_202211_202212_3
Precision,0.5445924302453005,OOT_202211_202212_3
AUC,0.6800972079859982,OOT_202211_202212_3
AU Precision Recall,0.6800972079859974,OOT_202211_202212_3
True positive,347977.0,OOT_202301_202302_1
True negative,5351281.0,OOT_202301_202302_1
False positive,223536.0,OOT_202301_202302_1
False negative,1331911.0,OOT_202301_202302_1
Recall,0.20714297619841324,OOT_202301_202302_1
Precision,0.608869789488603,OOT_202301_202302_1
AUC,0.7121086839127312,OOT_202301_202302_1
AU Precision Recall,0.7121086839127314,OOT_202301_202302_1
True positive,486819.0,OOT_202301_202302_2
True negative,5217771.0,OOT_202301_202302_2
False positive,258813.0,OOT_202301_202302_2
False negative,1395848.0,OOT_202301_202302_2
Recall,0.25857945138465804,OOT_202301_202302_2
Precision,0.6528944573194283,OOT_202301_202302_2
AUC,0.7316125826754039,OOT_202301_202302_2
AU Precision Recall,0.7316125826754043,OOT_202301_202302_2
True positive,44915.0,OOT_202301_202302_3
True negative,1085953.0,OOT_202301_202302_3
False positive,42527.0,OOT_202301_202302_3
False negative,270194.0,OOT_202301_202302_3
Recall,0.14253797892157952,OOT_202301_202302_3
Precision,0.5136547654445233,OOT_202301_202302_3
AUC,0.6782531011766962,OOT_202301_202302_3
AU Precision Recall,0.6782531011766975,OOT_202301_202302_3
True positive,993311.0,OOT_202201_202202
True negative,11169926,OOT_202201_202202
False positive,534201.0,OOT_202201_202202
False negative,3245320.0,OOT_202201_202202
Recall,0.23434712764569504,OOT_202201_202202
Precision,0.6502803251300153,OOT_202201_202202
AUC,0.7237588255894606,OOT_202201_202202
AU Precision Recall,0.7237588255894604,OOT_202201_202202
True positive,822538.0,OOT_202211_202212
True negative,11386179,OOT_202211_202212
False positive,437556.0,OOT_202211_202212
False negative,3311994.0,OOT_202211_202212
Recall,0.19894343543598164,OOT_202211_202212
Precision,0.6527592385964857,OOT_202211_202212
AUC,0.7186955501971645,OOT_202211_202212
AU Precision Recall,0.7186955501971636,OOT_202211_202212
True positive,880535.0,OOT_202301_202302
True negative,11667031,OOT_202301_202302
False positive,525502.0,OOT_202301_202302
False negative,3001264.0,OOT_202301_202302
Recall,0.22683683518904507,OOT_202301_202302
Precision,0.626253078688541,OOT_202301_202302
AUC,0.7191521170857652,OOT_202301_202302
AU Precision Recall,0.7191521170857658,OOT_202301_202302
