"cap_ahorro_total_actual_buckets","cap_ahorro_total_actual_buckets_num","columna"
-10.42_5.52,3.0,cap_ahorro_total_actual_buckets_num
"5.52_1351.255",2.0,cap_ahorro_total_actual_buckets_num
mayor_1351.255,1.0,cap_ahorro_total_actual_buckets_num
menor_-10.42,0.0,cap_ahorro_total_actual_buckets_num
Sin_Informacion,4.0,cap_ahorro_total_actual_buckets_num
menor_2,2.0,contador_baja_buckets_num
mayor_5,1.0,contador_baja_buckets_num
"3_5",0.0,contador_baja_buckets_num
"2_3",3.0,contador_baja_buckets_num
"3_7",3.0,contador_plano_buckets_num
"1_3",1.0,contador_plano_buckets_num
mayor_7,2.0,contador_plano_buckets_num
menor_1,0.0,contador_plano_buckets_num
-14427.8133_-7906.7783,2.0,gasto_promedio_trim_anterior_buckets_num
mayor_-2493.49,3.0,gasto_promedio_trim_anterior_buckets_num
menor_-14427.8133,0.0,gasto_promedio_trim_anterior_buckets_num
Sin_Informacion,4.0,gasto_promedio_trim_anterior_buckets_num
-7906.7783_-2493.49,1.0,gasto_promedio_trim_anterior_buckets_num
-4972.85_-1499.4216,3.0,gastos_consumo_promedio_trim_actual_buckets_num
mayor_-0.125,1.0,gastos_consumo_promedio_trim_actual_buckets_num
menor_-4972.85,2.0,gastos_consumo_promedio_trim_actual_buckets_num
Sin_Informacion,4.0,gastos_consumo_promedio_trim_actual_buckets_num
-1499.4216_-0.125,0.0,gastos_consumo_promedio_trim_actual_buckets_num
Sin_Informacion,3.0,gastos_financieros_actual_buckets_num
menor_-3597.904999,0.0,gastos_financieros_actual_buckets_num
-3597.904999_-172.26999,1.0,gastos_financieros_actual_buckets_num
mayor_-172.26999,2.0,gastos_financieros_actual_buckets_num
Sin_Informacion,3.0,ingreso_promedio_trim_actual_buckets_num
"3788.36166_7763.55833",1.0,ingreso_promedio_trim_actual_buckets_num
menor_3788.36166,2.0,ingreso_promedio_trim_actual_buckets_num
mayor_7763.55833,0.0,ingreso_promedio_trim_actual_buckets_num
mayor_10113.01,1.0,ingresos_duros_actual_buckets_num
menor_0,0.0,ingresos_duros_actual_buckets_num
"5226.82_10113.01",2.0,ingresos_duros_actual_buckets_num
"0_5226.82",3.0,ingresos_duros_actual_buckets_num
Sin_Informacion,4.0,ingresos_duros_actual_buckets_num
mayor_9513.53,1.0,saldo_medio_actual_buckets_num
"40.26_9513.53",0.0,saldo_medio_actual_buckets_num
menor_40.26,2.0,saldo_medio_actual_buckets_num
menor_16.2337,3.0,saldo_medio_pasado_12m_buckets_num
"16.2337_480.5658",1.0,saldo_medio_pasado_12m_buckets_num
mayor_480.5658,0.0,saldo_medio_pasado_12m_buckets_num
Sin_Informacion,2.0,saldo_medio_pasado_12m_buckets_num
Sin_Informacion,3.0,var_12m_buckets_num
"0.011061146_0.30342089",1.0,var_12m_buckets_num
menor_0.011061146,0.0,var_12m_buckets_num
mayor_0.30342089,2.0,var_12m_buckets_num
Sin_Informacion,0.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
-0.0876301_1.0000018,2.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
mayor_1.0000018,3.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
menor_-0.0876301,1.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
Sin_Informacion,3.0,var_ingreso_mes_actual_trim_anterior_buckets_num
menor_-0.311371766,1.0,var_ingreso_mes_actual_trim_anterior_buckets_num
-0.311371766_0.3234381132,0.0,var_ingreso_mes_actual_trim_anterior_buckets_num
mayor_0.3234381132,2.0,var_ingreso_mes_actual_trim_anterior_buckets_num
Sin_Informacion,0.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
menor_-0.15483172,2.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
-0.15483172_0.2019093,1.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
mayor_0.2019093,3.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
Sin_Informacion,0.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
mayor_0.950729,3.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
-0.999999_0.950729,1.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
menor_-0.999999,2.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
mayor_0.113108,0.0,variacion_saldo_12m_num_buckets_num
"0_0.113108",3.0,variacion_saldo_12m_num_buckets_num
-0.367521_0,1.0,variacion_saldo_12m_num_buckets_num
menor_-0.367521,2.0,variacion_saldo_12m_num_buckets_num
-2.35e-05_1.05e-05,1.0,variacion_saldo_3m_num_buckets_num
menor_-0.533628,2.0,variacion_saldo_3m_num_buckets_num
-0.533628_-2.35e-05,3.0,variacion_saldo_3m_num_buckets_num
mayor_1.05e-05,0.0,variacion_saldo_3m_num_buckets_num
-0.447148_0,1.0,variacion_saldo_6m_num_buckets_num
"0_0.046248",3.0,variacion_saldo_6m_num_buckets_num
menor_-0.447148,2.0,variacion_saldo_6m_num_buckets_num
mayor_0.046248,0.0,variacion_saldo_6m_num_buckets_num
mayor_1.518217,2.0,variacion_saldo_semestral_num_buckets_num
menor_0,0.0,variacion_saldo_semestral_num_buckets_num
"0_1.518217",1.0,variacion_saldo_semestral_num_buckets_num
menor_0.014898999,0.0,variacion_saldo_trimestral_num_buckets_num
"0.014898999_0.706298499",2.0,variacion_saldo_trimestral_num_buckets_num
mayor_0.706298499,1.0,variacion_saldo_trimestral_num_buckets_num
"11_11",1.0,vinc_saldos_nuevo_buckets_num
mayor_11,0.0,vinc_saldos_nuevo_buckets_num
Sin_Informacion,3.0,gastos_blandos_actual_buckets_num
menor_-0.005,2.0,gastos_blandos_actual_buckets_num
mayor_0.1,1.0,gastos_blandos_actual_buckets_num
-0.005_0.1,0.0,gastos_blandos_actual_buckets_num
menor_26,3.0,edad_buckets_num
"26_33",2.0,edad_buckets_num
"33_42",1.0,edad_buckets_num
mayor_42,0.0,edad_buckets_num
